Silhouette,NMI,ARI,Purity,Method,Architecture
0.06020396202802658,0.18594728078868544,0.10746499368924779,0.3630239520958084,CVAE (Multi-Modal),Conditional VAE
0.0983398356357419,0.18270075249514703,0.11126239267780323,0.3652694610778443,PCA + K-Means,Conditional VAE
0.06456144154071808,0.19348832533729718,0.1386433547952102,0.3884730538922156,Autoencoder + K-Means,Conditional VAE
0.09901343922803206,0.17908140064362132,0.12231025343167803,0.3690119760479042,Direct Spectral,Conditional VAE
