Algorithm,Silhouette,Davies-Bouldin,ARI,n_clusters,Architecture
K-Means-Main (k=2),0.22221991419792175,1.8719220864269683,0.04758417778633498,2,Convolutional VAE
K-Means-Language (k=2),0.22221991419792175,1.8719220864269683,0.04758417778633498,2,Convolutional VAE
Agglomerative (k=2),0.1819559931755066,2.0819309446662175,0.04702989613010255,2,Convolutional VAE
DBSCAN (eps=4.0),-0.14175984263420105,2.179013025561323,0.02373644372754471,2,Convolutional VAE
