Silhouette,NMI,ARI,Purity,Method
0.06536942720413208,0.187220351458587,0.11240658089649612,0.36002994011976047,CVAE (Multi-Modal)
0.0983398356357419,0.18270075249514703,0.11126239267780323,0.3652694610778443,PCA + K-Means
0.06456144154071808,0.19348832533729718,0.1386433547952102,0.3884730538922156,Autoencoder + K-Means
0.09901343922803206,0.17908140064362132,0.12231025343167803,0.3690119760479042,Direct Spectral
